date,usd_per_gbp
2023-07-21,1.2828408645
2023-07-24,1.2850028952
2023-07-25,1.2827924038
2023-07-26,1.2905070307
2023-07-27,1.2953367876
2023-07-28,1.2868162693
2023-07-31,1.2852562234
2023-08-01,1.2775869097
2023-08-02,1.2767614310
2023-08-03,1.2642827404
2023-08-04,1.2699407144
2023-08-07,1.2747931247
2023-08-08,1.2702244713
2023-08-09,1.2726850777
2023-08-10,1.2766327204
2023-08-11,1.2733900365
2023-08-14,1.2677608305
2023-08-15,1.2711302426
2023-08-16,1.2745636056
2023-08-17,1.2764213361
2023-08-18,1.2710982186
2023-08-21,1.2761626206
2023-08-22,1.2764984523
2023-08-23,1.2614852953
2023-08-24,1.2656158786
2023-08-25,1.2619828824
2023-08-28,1.2594534755
2023-08-29,1.2582110412
2023-08-30,1.2669925512
2023-08-31,1.2678783919
2023-09-01,1.2677406533
2023-09-04,1.2625365283
2023-09-05,1.2545741509
2023-09-06,1.2566810521
2023-09-07,1.2467986030
2023-09-08,1.2484982796
2023-09-11,1.2520723876
2023-09-12,1.2467849869
2023-09-13,1.2467185504
2023-09-14,1.2477469620
2023-09-15,1.2410629032
2023-09-18,1.2378542158
2023-09-19,1.2418997716
2023-09-20,1.2367964868
2023-09-21,1.2264597004
2023-09-22,1.2266835647
2023-09-25,1.2226757891
2023-09-26,1.2186853597
2023-09-27,1.2136850593
2023-09-28,1.2207383040
2023-09-29,1.2253348447
2023-10-02,1.2155423189
2023-10-03,1.2064534716
2023-10-04,1.2122926964
2023-10-05,1.2154032677
2023-10-06,1.2210149116
2023-10-09,1.2171752196
2023-10-10,1.2249102905
2023-10-11,1.2292354953
2023-10-12,1.2310456759
2023-10-13,1.2178441243
2023-10-16,1.2176324455
2023-10-17,1.2173462336
2023-10-18,1.2198360466
2023-10-19,1.2121977543
2023-10-20,1.2143831768
2023-10-23,1.2159076566
2023-10-24,1.2217178972
2023-10-25,1.2122879413
2023-10-26,1.2091315820
2023-10-27,1.2112889696
2023-10-30,1.2141507814
2023-10-31,1.2154613923
2023-11-01,1.2119155788
2023-11-02,1.2211213562
