"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"41";"CAT_IBKR_V2_D1";"Buy";"2024.03.28 00:00:00";"363.996";"1.0";"2024.04.04 00:00:00";"377.817";"13,82";"10133,49";"IST";"PT";"-3,24";"13,82";"7d 0h 0m";""
"42";"CAT_IBKR_V2_D1";"Buy";"2024.04.05 00:00:00";"371.477";"1.0";"2024.04.17 00:00:00";"355.462";"-16,01";"10117,47";"IST";"SL";"-16,01";"10,12";"12d 0h 0m";""
"43";"CAT_IBKR_V2_D1";"Buy";"2024.04.22 00:00:00";"356.307";"1.0";"2024.04.25 00:00:00";"338.302";"-18,00";"10099,47";"IST";"SL";"-18,00";"11,42";"3d 0h 0m";""
"44";"CAT_IBKR_V2_D1";"Buy";"2024.04.30 00:00:00";"346.966";"1.0";"2024.05.20 00:00:00";"363.972";"17,01";"10116,47";"IST";"PT";"-17,67";"17,01";"20d 0h 0m";""
"45";"CAT_IBKR_V2_D1";"Buy";"2024.05.21 00:00:00";"362.277";"1.0";"2024.05.29 00:00:00";"343.069";"-19,21";"10097,27";"IST";"SL";"-19,21";"0,68";"8d 0h 0m";""
"46";"CAT_IBKR_V2_D1";"Buy";"2024.06.03 00:00:00";"340.006";"1.0";"2024.06.14 00:00:00";"321.216";"-18,79";"10078,48";"IST";"SL";"-18,79";"0,60";"11d 0h 0m";""
"47";"CAT_IBKR_V2_D1";"Buy";"2024.06.14 00:00:00";"321.216";"1.0";"2024.07.12 00:00:00";"336.797";"15,58";"10094,06";"IST";"PT";"-5,58";"15,58";"28d 0h 0m";""
"48";"CAT_IBKR_V2_D1";"Buy";"2024.07.15 00:00:00";"339.026";"1.0";"2024.07.16 00:00:00";"353.155";"14,13";"10108,19";"IST";"PT";"-1,50";"14,13";"1d 0h 0m";""
"49";"CAT_IBKR_V2_D1";"Buy";"2024.07.25 00:00:00";"335.447";"1.0";"2024.07.26 00:00:00";"351.210";"15,76";"10123,95";"IST";"PT";"-1,76";"15,76";"1d 0h 0m";""
"50";"CAT_IBKR_V2_D1";"Buy";"2024.07.29 00:00:00";"350.246";"1.0";"2024.08.01 00:00:00";"330.871";"-19,37";"10104,58";"IST";"SL";"-19,38";"0,25";"3d 0h 0m";""
"51";"CAT_IBKR_V2_D1";"Buy";"2024.08.02 00:00:00";"322.346";"1.0";"2024.08.14 00:00:00";"339.957";"17,61";"10122,19";"IST";"PT";"-15,29";"17,61";"12d 0h 0m";""
"52";"CAT_IBKR_V2_D1";"Buy";"2024.08.23 00:00:00";"342.376";"1.0";"2024.09.18 00:00:00";"358.990";"16,61";"10138,80";"IST";"PT";"-16,38";"16,61";"26d 0h 0m";""
"53";"CAT_IBKR_V2_D1";"Buy";"2024.09.30 00:00:00";"389.007";"1.0";"2024.10.30 00:00:00";"367.212";"-21,79";"10117,00";"IST";"SL";"-21,80";"14,42";"30d 0h 0m";""
"54";"CAT_IBKR_V2_D1";"Buy";"2024.11.04 00:00:00";"377.997";"1.0";"2024.11.06 00:00:00";"407.196";"29,20";"10146,20";"IST";"PT";"-2,75";"29,20";"2d 0h 0m";""
"55";"CAT_IBKR_V2_D1";"Buy";"2024.11.13 00:00:00";"389.337";"1.0";"2024.11.27 00:00:00";"408.614";"19,28";"10165,48";"IST";"PT";"-11,15";"19,28";"14d 0h 0m";""
"56";"CAT_IBKR_V2_D1";"Buy";"2024.12.06 00:00:00";"397.797";"1.0";"2024.12.17 00:00:00";"376.913";"-20,88";"10144,60";"IST";"SL";"-20,88";"11,36";"11d 0h 0m";""
"57";"CAT_IBKR_V2_D1";"Buy";"2024.12.24 00:00:00";"364.087";"1.0";"2024.12.31 00:00:00";"362.247";"-1,84";"10142,76";"IST";"EndTest";"-5,29";"3,23";"7d 0h 0m";""
