"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"21";"CAT_IBKR_V2_D1";"Buy";"2023.01.24 00:00:00";"250.806";"3.0";"2023.01.26 00:00:00";"262.187";"34,14";"1369,73";"IST";"PT";"-4,32";"34,14";"2d 0h 0m";""
"22";"CAT_IBKR_V2_D1";"Buy";"2023.02.03 00:00:00";"243.507";"4.0";"2023.03.10 00:00:00";"228.817";"-58,76";"1310,98";"IST";"SL";"-58,76";"47,44";"35d 0h 0m";""
"23";"CAT_IBKR_V2_D1";"Buy";"2023.03.16 00:00:00";"215.596";"4.0";"2023.04.03 00:00:00";"229.557";"55,84";"1366,82";"IST";"PT";"-17,12";"55,84";"18d 0h 0m";""
"24";"CAT_IBKR_V2_D1";"Buy";"2023.04.12 00:00:00";"222.116";"4.0";"2023.04.27 00:00:00";"206.443";"-62,69";"1304,13";"IST";"SL";"-62,69";"20,04";"15d 0h 0m";""
"25";"CAT_IBKR_V2_D1";"Buy";"2023.05.02 00:00:00";"216.297";"4.0";"2023.06.07 00:00:00";"228.597";"49,20";"1353,33";"IST";"PT";"-43,12";"49,20";"36d 0h 0m";""
"26";"CAT_IBKR_V2_D1";"Buy";"2023.06.23 00:00:00";"234.196";"4.0";"2023.06.29 00:00:00";"246.296";"48,40";"1401,73";"IST";"PT";"-13,04";"48,40";"6d 0h 0m";""
"27";"CAT_IBKR_V2_D1";"Buy";"2023.07.11 00:00:00";"249.457";"4.0";"2023.07.18 00:00:00";"261.111";"46,62";"1448,34";"IST";"PT";"-0,00";"46,62";"7d 0h 0m";""
"28";"CAT_IBKR_V2_D1";"Buy";"2023.07.26 00:00:00";"259.996";"3.0";"2023.08.01 00:00:00";"271.997";"36,00";"1484,35";"IST";"PT";"-9,93";"36,00";"6d 0h 0m";""
"29";"CAT_IBKR_V2_D1";"Buy";"2023.08.09 00:00:00";"284.116";"3.0";"2023.08.21 00:00:00";"268.843";"-45,82";"1438,53";"IST";"SL";"-45,82";"9,33";"12d 0h 0m";""
"30";"CAT_IBKR_V2_D1";"Buy";"2023.08.24 00:00:00";"271.116";"3.0";"2023.08.30 00:00:00";"283.358";"36,73";"1475,25";"IST";"PT";"-6,96";"36,73";"6d 0h 0m";""
"31";"CAT_IBKR_V2_D1";"Buy";"2023.09.12 00:00:00";"280.147";"3.0";"2023.10.04 00:00:00";"266.206";"-41,82";"1433,43";"IST";"SL";"-41,82";"18,81";"22d 0h 0m";""
"32";"CAT_IBKR_V2_D1";"Buy";"2023.10.10 00:00:00";"272.236";"3.0";"2023.10.19 00:00:00";"257.467";"-44,31";"1389,12";"IST";"SL";"-44,31";"9,09";"9d 0h 0m";""
"33";"CAT_IBKR_V2_D1";"Buy";"2023.10.26 00:00:00";"245.067";"4.0";"2023.10.31 00:00:00";"226.756";"-73,24";"1315,88";"IST";"SL";"-73,24";"5,00";"5d 0h 0m";""
"34";"CAT_IBKR_V2_D1";"Buy";"2023.11.01 00:00:00";"225.407";"4.0";"2023.11.02 00:00:00";"238.988";"54,32";"1370,20";"IST";"PT";"-6,04";"54,32";"1d 0h 0m";""
"35";"CAT_IBKR_V2_D1";"Buy";"2023.11.03 00:00:00";"241.497";"4.0";"2023.12.01 00:00:00";"255.307";"55,24";"1425,44";"IST";"PT";"-33,32";"55,24";"28d 0h 0m";""
"36";"CAT_IBKR_V2_D1";"Buy";"2023.12.27 00:00:00";"295.307";"3.0";"2024.01.17 00:00:00";"278.156";"-51,45";"1373,99";"IST";"SL";"-51,45";"10,92";"21d 0h 0m";""
"37";"CAT_IBKR_V2_D1";"Buy";"2024.01.17 00:00:00";"278.156";"3.0";"2024.01.22 00:00:00";"289.862";"35,12";"1409,11";"IST";"PT";"-4,98";"35,12";"5d 0h 0m";""
"38";"CAT_IBKR_V2_D1";"Buy";"2024.02.01 00:00:00";"303.497";"3.0";"2024.02.02 00:00:00";"315.678";"36,54";"1445,65";"IST";"PT";"-5,01";"36,54";"1d 0h 0m";""
